CHANNEL1,CHANNEL2,CHANNEL3,ENTRY AGE,SEX,POLICY TYPE 1,POLICY TYPE 2,POLICY TYPE 3,PAYMENT MODE,POLICY STATUS,BENEFIT,NON LAPSE GUARANTEED,SUBSTANDARD RISK,NUMBER OF ADVANCE PREMIUM,INITIAL BENEFIT,Full Benefit?,Policy Year (Decimal),Policy Year,Premium,Issue Date
1,1,1,36,F,1,1,A,Annually,Inforce,200000,NO NLG,0,0,0,N,8,9,280,11-Aug
1,1,1,42,M,1,2,A,Annually,Inforce,100000,NO NLG,0,0,0,N,8,9,200,11-Aug
1,1,2,40,M,2,3,A,Annually,Lapse,80000,NO NLG,0,0,0,N,8,9,1289,11-Aug
1,1,3,39,M,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,8,9,216,11-Aug
1,1,4,44,M,1,2,A,Annually,Lapse,100000,NO NLG,0,0,0,N,7.916666667,8,140,11-Sep
1,1,1,36,M,2,3,A,Monthly,Lapse,40000,NO NLG,0,0,0,N,7.916666667,8,336,11-Sep
1,1,1,50,F,2,3,A,Monthly,Lapse,20000,NO NLG,0,0,0,N,7.916666667,8,537,11-Sep
1,1,5,42,M,1,2,A,Annually,Lapse,100000,NO NLG,0,0,0,N,7.916666667,8,200,11-Sep
1,1,2,37,M,2,3,A,Annually,Lapse,20000,NO NLG,0,0,0,N,7.833333333,8,82,11-Oct
1,1,3,34,F,2,3,A,Annually,Lapse,20000,NO NLG,0,0,0,N,7.833333333,8,73,11-Oct
1,1,1,31,M,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.833333333,8,151,11-Oct
1,1,1,28,F,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.833333333,8,151,11-Oct
1,1,1,54,F,2,3,A,Annually,Expired,49000,NO NLG,0,0,0,N,7.75,8,,11-Nov
1,1,3,20,F,2,3,A,Annually,Lapse,20000,NO NLG,0,0,0,N,7.75,8,55,11-Nov
1,1,3,23,M,2,3,A,Annually,Lapse,20000,NO NLG,0,0,0,N,7.75,8,72,11-Nov
1,1,3,32,F,2,3,A,Annually,Expired,20000,NO NLG,0,0,0,N,7.75,8,63,11-Nov
1,1,6,18,F,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.666666667,8,151,11-Dec
1,1,1,26,M,1,1,A,Monthly,Lapse,200000,NO NLG,0,0,0,N,7.666666667,8,302,11-Dec
1,1,4,43,F,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.666666667,8,151,11-Dec
1,1,6,23,M,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.666666667,8,151,11-Dec
1,1,4,23,M,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.583333333,8,216,12-Jan
1,1,7,40,M,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.583333333,8,151,12-Jan
1,1,6,30,F,2,3,A,Monthly,Lapse,20000,NO NLG,0,0,0,N,7.583333333,8,175,12-Jan
1,1,1,21,M,2,3,A,Monthly,Lapse,20000,NO NLG,0,0,0,N,7.5,8,65,12-Feb
